Date,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
19930101,-15.58989,-0.1201292,0.06752341,1.08965,-3.616821,2.157555,1.173414,-2.367052,4.335998,1.179334,-1.034325,-0.3247758,-0.01076733,2.213028,-3.408741
19930102,-15.48677,-0.189136,0.08711991,1.026784,-3.426884,2.060147,1.252497,-2.471171,4.514089,1.274272,-1.019728,-0.2754804,-0.04203356,2.135284,-3.345156
19930103,-15.37905,-0.2951732,0.09499373,0.9333706,-3.212387,1.938705,1.35649,-2.625872,4.682587,1.344205,-0.9834796,-0.2173396,-0.08516775,2.09079,-3.285719
19930104,-15.22948,-0.3866354,0.07831727,0.8142496,-3.014963,1.809734,1.452175,-2.778887,4.852534,1.389045,-0.9281399,-0.1641096,-0.1525856,1.943594,-3.173174
19930105,-15.03927,-0.4846513,0.0442125,0.6866885,-2.837185,1.677997,1.534083,-2.907997,5.017324,1.416758,-0.8646749,-0.1448852,-0.2499642,1.76527,-3.042969
19930106,-14.83269,-0.5775386,0.02929754,0.5633431,-2.67568,1.554828,1.604975,-3.043456,5.154469,1.408022,-0.8221194,-0.1394524,-0.3795609,1.54961,-2.900079
19930107,-14.58579,-0.6626035,0.02239962,0.451561,-2.537075,1.473797,1.702836,-3.15942,5.249487,1.399826,-0.7767793,-0.1448558,-0.5246029,1.315033,-2.732509
19930108,-14.34392,-0.7155322,-0.02194676,0.3462425,-2.384233,1.362014,1.776763,-3.276327,5.309227,1.3996,-0.748941,-0.1569346,-0.6580648,1.063253,-2.564208
19930109,-14.09239,-0.7369031,-0.07074837,0.2421031,-2.294163,1.243248,1.818222,-3.372842,5.332701,1.374057,-0.7291646,-0.1755294,-0.806384,0.7601031,-2.372666
19930110,-13.82966,-0.7125145,-0.1220043,0.1250078,-2.24751,1.120922,1.839521,-3.495493,5.299017,1.379202,-0.6804929,-0.2267102,-0.9460527,0.4765301,-2.200741
19930111,-13.60678,-0.6834698,-0.1846238,0.02595132,-2.193863,1.015087,1.853545,-3.626092,5.254819,1.374027,-0.6681184,-0.2965081,-1.078123,0.213627,-2.041167
19930112,-13.38305,-0.6095436,-0.2316699,-0.07832812,-2.163474,0.9198322,1.842856,-3.744672,5.187033,1.384851,-0.6465947,-0.3907807,-1.233974,-0.05527986,-1.898491
19930113,-13.18542,-0.5284209,-0.2685831,-0.1830416,-2.155116,0.8384621,1.831372,-3.867195,5.099756,1.385058,-0.6141366,-0.4842007,-1.380361,-0.3252288,-1.758749
19930114,-13.01464,-0.4552527,-0.2831216,-0.2854216,-2.135491,0.7631785,1.829194,-4.00141,5.014108,1.402462,-0.5896654,-0.6090761,-1.542135,-0.5944958,-1.631781
19930115,-12.86101,-0.3725595,-0.2946008,-0.385563,-2.132344,0.7240456,1.820926,-4.137416,4.921271,1.439236,-0.5749804,-0.7449363,-1.678877,-0.8679668,-1.5347
19930116,-12.76155,-0.2421713,-0.2974544,-0.4432249,-2.180894,0.7561866,1.805043,-4.247997,4.836392,1.471008,-0.5314777,-0.8716214,-1.789584,-1.160433,-1.451363
19930117,-12.63465,-0.09846684,-0.2973725,-0.4998646,-2.198423,0.8072729,1.76416,-4.344162,4.761464,1.503277,-0.4904875,-1.000405,-1.87292,-1.453262,-1.390216
