Date,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
19930101,70.96146,-49.66839,46.09634,-57.70748,-15.65646,-1.20324,-2.972069,-5.104207,15.56468,-0.9150026,13.76644,-2.629159,-0.3449702,9.269931,-5.517434
19930102,61.59595,-48.78696,41.96547,-56.96442,-17.2475,-1.127707,3.352056,-3.854628,16.9893,3.380465,13.19561,1.700648,-0.6498588,9.918438,-0.3066622
19930103,59.22001,-45.81509,46.40124,-56.80491,-18.11107,-0.7026568,2.107405,-1.103974,23.05754,4.586695,12.09295,2.667524,0.7375495,9.80429,2.364781
19930104,60.76558,-41.45658,52.077,-59.93821,-19.13357,0.1254136,-0.2875938,4.923736,24.03222,5.501841,15.56722,2.893978,-0.1190858,6.751255,-0.4061634
19930105,68.32124,-38.92811,53.14132,-58.24779,-19.78767,0.004024147,0.9019113,6.136339,15.96223,3.939339,10.99562,7.256348,-6.610913,5.243909,-3.398902
19930106,70.47339,-41.52924,54.21113,-59.96981,-17.61578,-0.02959726,-0.5956122,5.876597,11.98788,2.559462,12.70444,8.331751,-8.453563,-0.2057014,-1.132455
19930107,67.31037,-44.25947,52.61211,-55.60108,-18.20968,4.071765,-5.576587,11.57697,13.98269,6.28429,13.46387,9.225287,-5.604453,-0.9676387,-2.071805
19930108,70.34084,-46.81932,48.02663,-53.45484,-20.78549,9.451774,-4.723453,17.75901,15.45709,12.38234,10.95388,5.895759,-5.830781,2.324236,-2.666932
19930109,70.41395,-46.95462,52.88559,-60.16776,-21.71869,11.43069,-6.204522,18.56117,16.68197,11.14734,8.897166,3.918173,-7.327393,3.984345,-2.008792
19930110,69.90392,-47.82982,57.2077,-61.73724,-16.48392,9.662296,-5.703212,13.0515,16.90045,11.03911,9.578867,6.589852,-6.297757,1.951676,-2.768027
19930111,69.54119,-53.21441,55.40062,-61.81981,-12.29737,8.025102,-3.036322,10.45193,11.38966,13.67163,7.258056,9.114602,-5.741536,3.799703,0.5239131
19930112,69.96531,-56.65914,56.80338,-58.47841,-11.6312,6.414981,-7.400288,12.68909,8.720716,13.44739,7.897148,17.80609,-6.47019,7.573284,3.310108
19930113,64.87706,-53.3158,59.26942,-57.59272,-7.813509,4.283456,-10.47977,16.31473,11.55411,15.3792,8.456929,27.53716,-8.067819,8.585782,3.24706
19930114,63.1783,-53.56112,61.97075,-57.33499,-6.492229,4.923799,-14.86131,19.01869,13.39275,11.68279,7.874181,30.21145,-7.788106,10.34933,4.995253
19930115,61.80734,-52.31538,57.68168,-46.76295,-7.9286,10.75601,-16.93965,17.96721,17.61473,9.004085,9.278234,27.30179,-7.340797,9.385488,5.960873
19930116,66.62467,-58.92849,43.2916,-26.56474,-9.890455,6.740038,-15.98202,12.51817,17.64521,5.771683,4.845191,27.5479,-6.927962,13.79895,4.747615
19930117,65.90468,-65.4142,44.94808,-16.62108,-12.36507,-0.637495,-17.80838,10.3023,16.10111,6.109368,3.91697,25.03151,-6.18324,3.191271,-0.3022354
